year,seq,school_code,school_name,major_group,selection_requirement,score,remark
2024,159,1055,首都经济贸易大学,05,不限,572,    
2024,160,1055,首都经济贸易大学,06,物理,561,105 113 109 234 
2024,161,1055,首都经济贸易大学,07,物理＋化学,564,97 117 110 240 
2024,162,1060,中国劳动关系学院,01,不限,521,100 83 107 231 
2024,163,1060,中国劳动关系学院,02,思想政治,524,104 103 110 207 
2024,164,1060,中国劳动关系学院,03,历史,530,114 64 112 240 
2024,165,1060,中国劳动关系学院,04,物理＋化学,505,84 114 73 234 
2024,166,1061,中华女子学院,01,不限(女),517,98 95 99 225 
2024,167,1061,中华女子学院,02,物理＋化学(女),507,103 92 105 207 
2024,168,1062,北方工业大学,01,物理＋化学(中外合办),496,    外语线:100
2024,169,1062,北方工业大学,02,不限,528,    
2024,170,1062,北方工业大学,03,物理＋化学,526,101 101 111 213 
2024,171,1063,北京工商大学,01,物理＋化学(中外合办),535,105 102 112 216 
2024,172,1063,北京工商大学,02,物理＋化学(中外合办),529,101 101 111 216 
2024,173,1063,北京工商大学,03,不限,565,    
2024,174,1063,北京工商大学,04,不限,550,    
2024,175,1063,北京工商大学,05,物理,539,99 118 109 213 
2024,176,1063,北京工商大学,06,物理＋化学,532,99 102 106 225 
2024,177,1063,北京工商大学,07,物理＋化学,513,97 108 107 201 
2024,178,1064,北京信息科技大学,01,不限,535,    
2024,179,1064,北京信息科技大学,02,物理,532,97 107 103 225 
2024,180,1064,北京信息科技大学,03,物理＋化学,577,99 128 113 237 
2024,181,1064,北京信息科技大学,04,物理＋化学,547,100 101 103 243 
2024,182,1064,北京信息科技大学,05,物理＋化学,538,98 107 84 249 
2024,183,1065,北京服装学院,01,不限,488,    
2024,184,1065,北京服装学院,02,物理＋化学,434,    
2024,185,1066,北京印刷学院,01,不限,507,    
2024,186,1066,北京印刷学院,02,物理,503,92 108 93 210 
2024,187,1066,北京印刷学院,03,物理＋化学,478,100 85 98 195 
2024,188,1067,北京建筑大学,01,不限,544,    
2024,189,1067,北京建筑大学,02,不限,529,    
2024,190,1067,北京建筑大学,03,物理,525,100 104 96 225 
2024,191,1067,北京建筑大学,04,物理＋化学,504,99 98 97 210 
2024,192,1067,北京建筑大学,05,物理＋化学,520,110 102 98 210 
2024,193,1068,北京石油化工学院,01,不限,489,105 67 104 213 
2024,194,1068,北京石油化工学院,02,物理,488,105 90 98 195 
2024,195,1068,北京石油化工学院,03,物理＋化学,463,81 101 89 192 
2024,196,1069,北京农学院,01,不限(中外合办),485,90 79 118 198 
2024,197,1069,北京农学院,02,物理＋化学(中外合办),434,    
2024,198,1069,北京农学院,03,不限,488,80 98 103 207 
2024,199,1069,北京农学院,04,生物,503,99 81 98 225 
2024,200,1069,北京农学院,05,物理＋化学,435,80 89 80 186 
2024,201,1069,北京农学院,06,物理＋化学,494,103 113 80 198 
2024,202,1070,北京物资学院,01,物理(中外合办),481,82 93 105 201 
2024,203,1070,北京物资学院,02,不限,508,    
2024,204,1070,北京物资学院,03,不限,508,    
2024,205,1070,北京物资学院,04,物理,504,98 101 110 195 
2024,206,1070,北京物资学院,05,物理＋化学,505,96 109 108 192 
2024,207,1076,北京联合大学,01,物理(中外合办),481,82 73 116 210 
2024,208,1076,北京联合大学,02,物理＋化学(中外合办),457,92 82 106 177 
2024,209,1076,北京联合大学,03,不限,509,    
2024,210,1076,北京联合大学,04,不限,498,    
2024,211,1076,北京联合大学,05,不限,497,    
2024,212,1076,北京联合大学,06,不限,487,    
2024,213,1076,北京联合大学,07,物理,490,87 94 105 204 
2024,214,1076,北京联合大学,08,地理,501,88 92 102 219 
2024,215,1076,北京联合大学,09,物理＋化学,493,84 102 109 198 
2024,216,1076,北京联合大学,10,物理＋化学,479,95 98 103 183 
2024,217,1076,北京联合大学,11,物理＋化学,447,86 99 82 180 
2024,218,1084,北京城市学院,01,不限,452,87 101 60 204 
2024,219,1084,北京城市学院,02,不限,451,87 104 101 159 
2024,220,1084,北京城市学院,03,物理,449,92 75 93 189 
2024,221,1084,北京城市学院,04,化学,451,73 100 62 216 
2024,222,1084,北京城市学院,05,地理,473,91 95 77 210 
2024,223,1084,北京城市学院,06,物理＋化学,434,    
2024,224,1090,首都师范大学科德学院,01,不限,434,    
2024,225,1090,首都师范大学科德学院,02,物理＋化学,434,    
2024,226,1091,北京金融科技学院,01,不限,434,    
2024,227,1091,北京金融科技学院,02,物理,434,    
2024,228,1091,北京金融科技学院,03,物理＋化学,434,    
2024,229,1092,北京邮电大学世纪学院,01,不限,445,83 92 84 186 
2024,230,1092,北京邮电大学世纪学院,02,物理,447,85 94 79 189 
2024,231,1092,北京邮电大学世纪学院,03,物理＋化学,434,    
2024,232,1093,北京工业大学耿丹学院,01,不限,435,83 48 109 195 
2024,233,1093,北京工业大学耿丹学院,02,物理,434,    
2024,234,1093,北京工业大学耿丹学院,03,物理＋化学,434,    
2024,235,1095,北京第二外国语学院中瑞酒店管理学院,01,不限,434,    
